sample_id,Lg_nm,Wns_nm,Tns_nm,Tox_nm,WorkFunction_eV,Nsd_cm3,Nch_cm3,VTH_lin_V,VTH_sat_V,SS_mVdec,DIBL_mV_V,ION_A_um,IOFF_A_um,ION_IOFF
1,11.0,10.63,5.57,0.84,4.391,1.3149130282405821e+20,2177058635183574.8,0.1586,0.0806,63.9,42.62,0.0012853842427175113,1e-05,128.53842427175113
2,15.61,22.73,3.34,1.17,4.711,1.0511333605366607e+20,3607286845429882.0,0.5287,0.4718,62.24,35.58,0.0006044063483393988,1e-11,60440634.83393989
3,13.86,16.29,3.65,1.18,4.552,7.686286524292227e+19,2259544862658330.0,0.3421,0.2839,62.61,38.13,0.0009231038742207732,2.617689502069143e-08,35264.07060467291
4,12.79,20.17,6.59,1.25,4.681,1.5426841299318597e+20,1504544604259195.8,0.4864,0.4206,65.63,41.89,0.0006248631785368348,8.496855631048025e-10,735405.1965453513
5,9.25,28.15,5.43,1.31,4.478,1.2907398053130214e+20,1742897079612608.5,0.226,0.1384,66.97,45.65,0.0032762102606758757,7.31330785229267e-06,447.97926285146156
6,9.25,14.99,3.04,1.48,4.708,6.2743705506822414e+19,8347521303222477.0,0.4244,0.3368,64.4,38.0,0.0009564377450068403,2.9896352577426642e-09,319917.870425773
7,8.46,18.21,3.41,1.16,4.506,1.764234500592185e+20,2586231736713900.0,0.2209,0.1322,62.82,40.01,0.0023281237757955134,9.280279490478298e-06,250.86785135988654
8,14.93,25.11,5.65,1.03,4.354,1.5614293761282307e+20,5352291054633513.0,0.1792,0.1288,62.47,40.14,0.002328158982195,1e-05,232.81589821949999
9,12.81,14.58,3.02,1.36,4.712,1.86157247104827e+20,1.015861594365257e+16,0.4871,0.4204,62.25,34.77,0.0005585359427033671,7.926423675273165e-10,704650.6288147895
10,13.66,11.54,3.64,0.99,4.387,1.3659402579020295e+20,2.4031985719771384e+16,0.1851,0.1189,62.12,37.05,0.0011568480931529203,1e-05,115.68480931529201
11,8.16,15.8,5.19,1.11,4.478,1.1696316657990214e+20,1198462031463846.5,0.1898,0.0999,65.9,46.07,0.0021450777961032667,1e-05,214.50777961032665
12,15.76,13.22,5.77,0.85,4.73,8.931940508475733e+19,3.9702769081512984e+16,0.5701,0.5181,62.14,39.64,0.00026079769435029417,1e-11,26079769.435029417
13,14.66,28.59,5.61,0.82,4.73,1.8181808950826038e+20,1.8021908442002524e+16,0.5591,0.4943,62.6,39.85,0.0006164846194348189,1e-11,61648461.94348189
14,9.7,26.16,3.9,1.47,4.579,1.658205432816415e+20,1457196313600388.8,0.3128,0.2311,64.36,42.5,0.0021814162765274826,2.058441555922576e-07,10597.416624489932
15,9.45,22.67,5.85,1.39,4.603,5.334960423884572e+19,5.586724407808415e+16,0.3549,0.2715,66.55,44.83,0.0018069346306390387,4.373247118829075e-08,41317.917363033455
16,9.47,27.43,3.95,1.29,4.529,5.197807419390009e+19,6.94616029269427e+16,0.2579,0.1773,63.59,39.9,0.002892419054558532,1.639555835744524e-06,1764.147942692712
17,10.43,26.07,4.3,1.09,4.467,8.430979244036196e+19,1324817083532982.2,0.2172,0.145,63.12,39.68,0.0027659842003372424,5.682639435450057e-06,486.7428651344972
18,12.2,13.73,5.99,0.92,4.481,1.535790576526643e+20,3578947241026058.5,0.2735,0.2079,62.94,41.71,0.0011572525071368606,5.055092776057723e-07,2289.280451227165
19,11.46,27.85,5.6,0.91,4.619,1.9604947226728438e+20,4.09640190644558e+16,0.4027,0.3291,63.07,41.58,0.0015822027898644328,3.514293288117165e-09,450219.3357664014
20,10.33,20.79,6.4,0.98,4.651,6.1695023595446985e+19,3.1370351199434064e+16,0.4211,0.3395,65.36,46.67,0.0011863874719481883,4.646789622382825e-09,255313.36005261654
21,12.89,26.15,5.63,1.18,4.667,1.1388812138621444e+20,2339063643713445.5,0.468,0.4102,63.66,42.34,0.0009243411466118592,1.284196428846375e-10,7197817.451043821
22,9.12,27.92,5.27,1.3,4.666,8.482707930180646e+19,2622398251592924.5,0.4033,0.319,67.33,43.89,0.00178894020161824,8.15072543068667e-09,219482.3291290194
23,10.34,16.36,3.37,1.26,4.386,1.914029551247286e+20,5507369379184688.0,0.1228,0.0446,63.54,37.33,0.0022614848355597644,1e-05,226.1484835559764
24,10.93,12.2,4.47,1.0,4.548,1.6042474361179138e+20,9312064391199288.0,0.3043,0.2289,63.35,40.7,0.0010587880621270318,2.2594476711303025e-07,4686.048168565757
25,11.65,14.56,4.06,1.47,4.373,1.5958689421362735e+20,1.7238899708674514e+16,0.1403,0.0692,63.67,38.16,0.001818309609062156,1e-05,181.83096090621558
26,14.28,18.54,3.98,1.32,4.57,9.576700285920926e+19,5467984554504084.0,0.3717,0.3127,63.28,37.59,0.0009727172004336988,9.428792804304841e-09,103164.5535778018
27,9.6,26.36,6.89,1.19,4.527,8.889794083222077e+19,8415296693542197.0,0.2909,0.2072,66.54,48.16,0.0025054191632702177,5.191759869510328e-07,4825.7608715376155
28,12.11,27.21,4.57,1.23,4.705,7.312135710751421e+19,3.1256610167876704e+16,0.4929,0.4218,63.77,37.92,0.0008190119786040894,1.4640456028839693e-09,559416.9860493061
29,12.74,10.14,6.57,1.09,4.49,5.417829055868286e+19,1184040085965325.8,0.3015,0.2351,65.79,44.44,0.000812089443254859,1.7762571997279653e-07,4571.913591000397
30,8.37,20.21,5.52,0.97,4.397,1.6551350123944464e+20,3197966342900493.0,0.126,0.0362,65.09,48.29,0.0030793149409975647,1e-05,307.93149409975643
31,12.86,18.35,6.18,1.05,4.407,1.540779904188046e+20,2.671155504752786e+16,0.2179,0.1501,64.61,41.4,0.0017305446397502572,4.669697997627287e-06,370.5902695698012
32,9.36,14.44,5.01,1.33,4.655,1.9944842171157637e+20,6.171826024355867e+16,0.3931,0.3103,65.34,42.99,0.0009063146251895372,1.1285442220239915e-08,80308.29519149051
33,8.52,12.4,5.31,0.81,4.597,1.9860130698769777e+20,1.0552488419684346e+16,0.318,0.2298,64.02,45.86,0.00108281145384016,2.1666617346308173e-07,4997.602701580286
34,15.59,16.75,4.97,0.88,4.39,1.0795904231680323e+20,1.1593831134486442e+16,0.219,0.1714,63.13,38.3,0.001424338972729824,2.0538473397214345e-06,693.4979758149934
35,15.73,28.86,3.78,0.83,4.384,1.4500816242561809e+20,1638113625388927.5,0.198,0.1386,61.29,36.67,0.0025416817676874293,7.2443993215731965e-06,350.84782807575505
36,14.47,16.46,5.89,0.83,4.63,1.8486701887047654e+20,7849188043830687.0,0.4545,0.4001,63.6,42.19,0.000612960439576583,1e-11,61296043.957658306
37,10.44,20.38,4.12,1.4,4.379,1.621020228574368e+20,1.162076002627594e+16,0.127,0.0529,64.77,39.7,0.002749046787337015,1e-05,274.9046787337015
38,8.78,24.06,3.1,1.29,4.679,7.0535680572642705e+19,3054506173799785.5,0.3998,0.3075,63.37,38.02,0.0016970277407130677,1.026953060079351e-08,165248.81288945582
39,13.47,17.27,5.58,1.13,4.632,9.339561391529276e+19,3455305583136829.5,0.4421,0.3784,64.07,38.98,0.0007230539412234352,1.5572148341665803e-09,464325.104898203
40,11.52,29.44,3.71,0.87,4.383,5.990949366454522e+19,5682877914899332.0,0.1413,0.0678,62.72,37.32,0.0035887483450315135,1e-05,358.8748345031513
41,8.98,29.25,6.76,1.14,4.384,1.872537899194637e+20,1096837766037501.2,0.1403,0.051,67.21,48.8,0.004327368361949427,1e-05,432.73683619494267
